                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0021,                0.90451,                 1.0014,                0.95051,                0.93714,                0.96861,                0.38076,                 2.0389,                0.85019,                0.98962,             0.00092952,             0.00092952,             0.00092952
                     36,                 1.9907,                0.89573,                0.98909,                0.95307,                0.93059,                 0.9641,                0.36703,                 2.0557,                 0.8582,                0.99339,             0.00092402,             0.00092402,             0.00092402
                     37,                 1.9889,                0.90009,                0.99618,                0.95641,                0.94016,                0.96466,                0.37073,                 2.0679,                0.83831,                0.99721,             0.00091852,             0.00091852,             0.00091852
                     38,                 1.9772,                0.90471,                0.98552,                0.94733,                 0.9266,                0.96347,                0.37414,                 2.0367,                 0.8592,                0.98998,             0.00091302,             0.00091302,             0.00091302
                     39,                 1.9915,                0.90194,                0.99243,                0.96179,                0.92769,                0.96824,                0.36961,                 2.0547,                0.84025,                 0.9967,             0.00090752,             0.00090752,             0.00090752
                     40,                 1.9859,                  0.896,                0.98881,                0.96377,                 0.9308,                0.96762,                0.37263,                 2.0391,                0.84983,                 0.9934,             0.00090202,             0.00090202,             0.00090202
                     41,                  1.982,                0.90926,                0.99762,                0.96065,                0.93432,                0.96554,                0.37171,                 2.0492,                0.84711,                0.99467,             0.00089652,             0.00089652,             0.00089652
                     42,                 1.9908,                0.89391,                0.98151,                0.95484,                0.93632,                0.96171,                0.36197,                 2.0892,                0.85842,                0.99803,             0.00089102,             0.00089102,             0.00089102
                     43,                 1.9812,                0.89378,                0.99145,                0.96663,                0.94069,                0.97118,                0.38184,                 2.0307,                 0.8481,                  0.991,             0.00088552,             0.00088552,             0.00088552
                     44,                 1.9796,                0.88664,                0.99241,                0.96345,                0.94742,                0.97272,                0.38307,                 2.0454,                0.82876,                0.98822,             0.00088002,             0.00088002,             0.00088002
                     45,                 1.9893,                0.88398,                0.99229,                0.96592,                0.93573,                 0.9639,                0.37677,                 2.0462,                0.85247,                0.99363,             0.00087452,             0.00087452,             0.00087452
                     46,                 1.9633,                 0.8807,                0.99133,                0.96153,                0.94476,                0.96499,                0.37367,                 2.0677,                0.83533,                0.99695,             0.00086902,             0.00086902,             0.00086902
                     47,                 1.9725,                 0.8764,                0.98673,                 0.9634,                0.93996,                 0.9629,                0.38248,                 2.0408,                 0.8286,                0.98961,             0.00086352,             0.00086352,             0.00086352
                     48,                 1.9806,                0.88647,                0.98862,                0.96956,                0.94787,                0.97361,                0.37594,                 2.0801,                0.85382,                0.99542,             0.00085803,             0.00085803,             0.00085803
                     49,                 1.9853,                0.88208,                0.99059,                 0.9667,                0.94092,                0.96978,                0.36485,                 2.0983,                 0.8475,                0.99898,             0.00085253,             0.00085253,             0.00085253
                     50,                 1.9728,                0.87038,                0.99135,                0.97362,                0.94476,                0.97223,                0.37569,                 2.0804,                0.83382,                0.99733,             0.00084703,             0.00084703,             0.00084703
                     51,                 1.9734,                0.87637,                0.99234,                0.95979,                0.93777,                0.96327,                0.37297,                  2.052,                0.84024,                0.99456,             0.00084153,             0.00084153,             0.00084153
                     52,                 1.9697,                0.88064,                0.98938,                0.96882,                 0.9317,                0.96408,                0.37021,                 2.0585,                0.83931,                 0.9925,             0.00083603,             0.00083603,             0.00083603
                     53,                  1.985,                0.88714,                0.98929,                0.94868,                0.94526,                0.96354,                0.35429,                 2.1482,                 0.8535,                  1.012,             0.00083053,             0.00083053,             0.00083053
                     54,                 1.9824,                0.88648,                 0.9871,                 0.9663,                0.94164,                0.96557,                0.37379,                 2.0589,                 0.8301,                0.99436,             0.00082503,             0.00082503,             0.00082503
                     55,                 1.9725,                0.86816,                0.99504,                0.97487,                0.94438,                0.96979,                0.38042,                 2.0243,                0.82853,                0.99021,             0.00081953,             0.00081953,             0.00081953
                     56,                 1.9591,                0.85882,                0.98355,                0.95919,                0.93569,                0.96398,                0.37296,                 2.0869,                0.82537,                0.99788,             0.00081403,             0.00081403,             0.00081403
                     57,                 1.9643,                0.87154,                0.98322,                0.96672,                0.94104,                0.96083,                0.37153,                 2.0607,                0.83233,                0.99306,             0.00080853,             0.00080853,             0.00080853
                     58,                 1.9612,                0.86878,                0.98684,                0.97012,                0.93689,                0.96828,                0.37252,                 2.0819,                  0.831,                0.99835,             0.00080303,             0.00080303,             0.00080303
                     59,                 1.9783,                0.87449,                 0.9852,                0.95772,                0.93367,                0.96435,                0.37068,                 2.0676,                0.84195,                 0.9949,             0.00079753,             0.00079753,             0.00079753
                     60,                 1.9542,                0.87469,                0.98479,                0.96492,                  0.931,                0.96972,                0.38039,                 2.0563,                0.83108,                0.99255,             0.00079203,             0.00079203,             0.00079203
                     61,                 1.9591,                0.86931,                0.99309,                0.96364,                 0.9376,                0.96479,                0.37141,                 2.0656,                0.83273,                0.99774,             0.00078653,             0.00078653,             0.00078653
                     62,                 1.9647,                0.87847,                  0.986,                0.95988,                0.94114,                0.96734,                0.37116,                 2.0529,                 0.8297,                0.99291,             0.00078103,             0.00078103,             0.00078103
                     63,                 1.9648,                0.86689,                0.99011,                0.96266,                0.93318,                0.96364,                0.37671,                 2.0377,                0.82151,                0.99134,             0.00077553,             0.00077553,             0.00077553
                     64,                 1.9673,                0.85914,                0.98389,                0.97407,                0.94607,                0.97475,                0.37753,                 2.0695,                0.82785,                0.99317,             0.00077003,             0.00077003,             0.00077003
                     65,                  1.953,                0.85849,                0.98836,                0.96653,                0.94758,                0.96902,                0.37928,                 2.0441,                0.81703,                0.99121,             0.00076453,             0.00076453,             0.00076453
                     66,                 1.9685,                0.86858,                0.98479,                0.97114,                0.93542,                0.96249,                0.37028,                 2.0539,                0.84218,                 0.9985,             0.00075904,             0.00075904,             0.00075904
                     67,                 1.9447,                0.85216,                0.99194,                0.97384,                0.92933,                 0.9694,                0.38118,                  2.043,                0.81159,                0.98944,             0.00075354,             0.00075354,             0.00075354
                     68,                 1.9767,                0.86427,                0.98477,                0.96698,                0.92783,                0.96681,                0.37313,                 2.0495,                0.82887,                0.99024,             0.00074804,             0.00074804,             0.00074804
                     69,                 1.9497,                0.85869,                0.98811,                0.96836,                 0.9403,                0.96803,                0.38251,                  2.048,                0.81546,                0.99178,             0.00074254,             0.00074254,             0.00074254
                     70,                 1.9415,                0.85166,                 0.9896,                0.95873,                0.94168,                0.96189,                0.37538,                  2.041,                0.81934,                0.98976,             0.00073704,             0.00073704,             0.00073704
